기준연월,20세 이하,21~30세,31~40세,41~50세,51~60세,61세이상,승무원
2023-08-31,308659,431348,372926,353413,293902,203407,129581
2023-09-30,200085,350111,425845,331447,308408,276498,124763
2023-10-31,183985,312377,392829,339790,344680,337592,131450
2023-11-30,176443,324211,383934,349296,362173,333878,131711
2023-12-31,316312,445366,436165,404891,373979,298336,140718
2024-01-31,464792,492241,370348,475621,467041,355740,145083
2024-02-29,415664,426601,356427,442263,406850,327638,136666
2024-03-31,132284,341659,398353,322376,396371,411028,139921
2024-04-30,169066,316628,428851,350810,358396,354624,132579
2024-05-31,227133,348603,451863,388461,363072,347293,141885
2024-06-30,227807,386781,428943,374578,351809,310262,138971
2024-07-31,416775,456609,420427,444238,352838,263717,147365
